"","dt","Value","percent_change_last_update","Item","url"
"99",2015-05-01,94.9201713521442,-0.00439833012551169,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"100",2015-06-01,93.8773268548611,-0.0109865425064836,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"101",2015-07-01,95.2374183460512,0.0144879656969019,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"102",2015-08-01,94.2339874264226,-0.0105360995400208,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"103",2015-09-01,94.7702705322125,0.00569097329356525,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"104",2015-10-01,94.1306075506077,-0.0067496164990627,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"105",2015-11-01,93.5671872274163,-0.00598551669698323,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"106",2015-12-01,94.1583908922329,0.0063184935054174,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"107",2016-01-01,92.8021761463859,-0.0144035463328944,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"108",2016-02-01,91.9066479721391,-0.00964986179671218,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"109",2016-03-01,90.7455627418928,-0.0126333106022792,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"110",2016-04-01,89.9857206546531,-0.00837332497899546,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"111",2016-05-01,89.8345275862737,-0.00168018955984779,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"112",2016-06-01,88.9461067784892,-0.00988952501510394,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"113",2016-07-01,88.5984919460615,-0.00390815118297861,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"114",2016-08-01,89.647797685583,0.0118433814896117,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"115",2016-09-01,91.6210610652004,0.0220112867305236,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"116",2016-10-01,92.4823446555835,0.00940049788083309,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"117",2016-11-01,91.4911900962079,-0.010717230008244,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"118",2016-12-01,92.6561520717973,0.0127330508474577,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"119",2017-01-01,92.1625131647811,-0.00532764307580718,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
"120",2017-02-01,91.874341760947,-0.0031267745847911,"Milk","https://beta.bls.gov/dataViewer/view/timeseries/CUUR0000SEFJ01"
